test,n,rho,p_value,n_a,n_b,mean_a_dex,mean_b_dex,mean_diff_b_minus_a_dex,median_a_dex,median_b_dex,u_statistic,ci_lo_dex,ci_hi_dex,sigma_dex,shift_dex,power
spearman_residual_vs_eenv,153,-0.11592740207907952,0.1535801145762387,,,,,,,,,,,,,
partial_spearman_residual_vs_eenv_control_logD,153,-0.10761121424212888,0.1854999002705248,,,,,,,,,,,,,
spearman_logD_vs_eenv,153,-0.0971672333672654,0.23213960068973635,,,,,,,,,,,,,
spearman_residual_vs_eenv_q1,93,-0.19732122166348556,0.05798045322223996,,,,,,,,,,,,,
spearman_residual_vs_eenv_q2,60,-0.017832317370825617,0.8924272101648177,,,,,,,,,,,,,
spearman_residual_vs_eenv_x0_defined,148,-0.08806532010720453,0.2871718477763666,,,,,,,,,,,,,
spearman_residual_vs_eenv_no_outlier,151,-0.10830467462129803,0.1856000288498592,,,,,,,,,,,,,
mannwhitney_median_split,,,0.4424147077698052,77,76,-0.04738375894187375,-0.057967374530191094,-0.010583615588317344,-0.038830953503835565,-0.05086204681387399,3137.0,,,,,
mannwhitney_quartile_split,,,0.09646194233217913,42,41,-0.02304453275713377,-0.06823649906517547,-0.0451919663080417,0.0013648748337248286,-0.057476722060904824,1044.0,,,,,
quartile_bootstrap_ci,83,,,,,,,,,,,-0.1184907480368451,0.03261233697215767,,,
power_median_split_0p05dex,,,,77,76,,,,,,,,,0.1650353633294918,0.05,0.4415
power_quartile_split_0p05dex,,,,42,41,,,,,,,,,0.1650353633294918,0.05,0.2653
